model,test_r2,test_mse,test_rmse,cv_r2_mean,cv_r2_std
Multiple Linear Regression,0.421,0.4102,0.6404,0.3629,0.0377
Ridge Regression,0.4162,0.4135,0.6431,0.3627,0.0313
