county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,electric_utility,Electric_Range_MinMax,Model_Year_ZScore,Range_Category
King,Seattle,WA,98109.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,36.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),0.0,-0.36853767339064825,Unknown/Not Researched
King,Seattle,WA,98116.0,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,34.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),0.10238907849829351,0.2707985792660235,Short
King,Kent,WA,98031.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,47.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.2707985792660235,Unknown/Not Researched
King,Renton,WA,98059.0,2025,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,0.9101348319226953,Unknown/Not Researched
King,Kirkland,WA,98033.0,2016,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,48.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.29692832764505117,-1.9668783050323277,Medium
King,Seattle,WA,98125.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,46.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),0.8839590443686007,-0.6882057997189841,Long
Yakima,Yakima,WA,98903.0,2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14.0,PACIFICORP,0.0,0.5904667055943594,Unknown/Not Researched
King,Renton,WA,98056.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,11.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.7508532423208191,-1.00787392604732,Long
Yakima,Yakima,WA,98908.0,2026,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14.0,PACIFICORP,0.08532423208191127,1.2298029582510313,Short
King,Redmond,WA,98052.0,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,48.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,-0.04886954706231235,Unknown/Not Researched
King,Sammamish,WA,98075.0,2026,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),0.0,1.2298029582510313,Unknown/Not Researched
Clark,Vancouver,WA,98685.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,49.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),0.0,0.5904667055943594,Unknown/Not Researched
